user_id,age,income_range,risk_profile,occupation
user_001,19,30k-50k,conservative,Sericultor
user_002,54,100k-150k,moderate,Agente de aduanas
user_003,23,100k-150k,moderate,Conductor de autobús
user_004,63,30k-50k,conservative,Oficial de préstamos y créditos
user_005,30,50k-100k,moderate,Pulidor de metales y afilador de herramientas
user_006,62,100k-150k,moderate,Maquinista de locomotoras
user_007,21,150k+,aggressive,Planchador manuales
user_008,38,150k+,aggressive,Receptor de apuestas
user_009,40,50k-100k,moderate,Conductor de automóviles
user_010,68,100k-150k,moderate,Demostrador de tiendas
user_011,29,150k+,aggressive,Programador de aplicaciones
user_012,45,100k-150k,moderate,Profesional de ventas de tecnología de la información y las comunicaciones
user_013,48,100k-150k,moderate,Camarero de barra
user_014,35,50k-100k,moderate,Operador de instalaciones de procesamiento de metales
user_015,25,100k-150k,moderate,Profesional de ventas técnicas y médicas
user_016,23,50k-100k,moderate,Profesional religioso
user_017,43,150k+,aggressive,Curtidor
user_018,59,100k-150k,moderate,Auxiliar de maestro
user_019,45,150k+,aggressive,Director de empresas de construcción
user_020,50,30k-50k,conservative,Miembro del poder legislativo
user_021,33,150k+,aggressive,Mecánico y reparador de instrumentos de precisión
user_022,56,50k-100k,moderate,Suboficial de las fuerzas armadas
user_023,67,30k-50k,conservative,Vendedor de quioscos y de puestos de mercado
user_024,51,100k-150k,moderate,Operador de instalaciones mineras
user_025,53,30k-50k,conservative,Profesor de formación profesional
user_026,27,150k+,aggressive,Diseñador multimedia
user_027,35,150k+,aggressive,Cuidador de niños
user_028,61,30k-50k,conservative,Entrevistador de investigaciones de mercados
user_029,37,30k-50k,conservative,Cuidador de niños
user_030,34,150k+,aggressive,Técnico forestal
user_031,21,150k+,aggressive,Capitán decubierta
user_032,46,50k-100k,moderate,Peletero
user_033,24,50k-100k,moderate,Criador de ganado
user_034,42,30k-50k,conservative,Analista financiero
user_035,70,30k-50k,conservative,Profesional de enfermería
user_036,45,150k+,aggressive,Agricultor
user_037,67,50k-100k,moderate,Veterinario
user_038,58,100k-150k,moderate,Recolector de dinero en aparatos de venta automática y lector de medidores
user_039,25,30k-50k,conservative,Director de servicios de bienestar social
user_040,67,30k-50k,conservative,Entrevistador de investigaciones de mercados
user_041,47,100k-150k,moderate,Deportista
user_042,26,50k-100k,moderate,Controlador de instalaciones de procesamiento de productos químicos
user_043,19,150k+,aggressive,Profesional de la protección medioambiental
user_044,63,50k-100k,moderate,Mecánico y reparador de vehículos de motor
user_045,32,30k-50k,conservative,Zapatero
user_046,52,100k-150k,moderate,Peón de obras públicas y mantenimiento
